Station_Id_C,Lon,Lat,Alti,Station_levl,Province,City,Cnty,Country,ProvinceCode,CityCode,CntyCode
896107,75.47,36.86,0.0,14,新疆维吾尔自治区,喀什地区,塔什库尔干塔吉克自治县,中国,650000,653100,653131
896108,76.92,37.74,0.0,14,新疆维吾尔自治区,喀什地区,叶城县,中国,650000,653100,653126
896110,77.9,39.24,0.0,14,新疆维吾尔自治区,喀什地区,麦盖提县,中国,650000,653100,653127
896111,78.22,39.52,0.0,14,新疆维吾尔自治区,喀什地区,巴楚县,中国,650000,653100,653130
896113,75.53,39.27,0.0,14,新疆维吾尔自治区,喀什地区,疏附县,中国,650000,653100,653121
896114,75.61,39.51,0.0,14,新疆维吾尔自治区,喀什地区,疏附县,中国,650000,653100,653121
896121,74.87,38.19,0.0,14,新疆维吾尔自治区,喀什地区,塔什库尔干塔吉克自治县,中国,650000,653100,653131
896123,75.31,37.19,0.0,14,新疆维吾尔自治区,喀什地区,塔什库尔干塔吉克自治县,中国,650000,653100,653131
896124,75.02,38.01,0.0,14,新疆维吾尔自治区,喀什地区,塔什库尔干塔吉克自治县,中国,650000,653100,653131
896128,75.84,38.83,0.0,14,新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,阿克陶县,中国,650000,653000,653022
896132,75.68,39.07,0.0,14,新疆维吾尔自治区,喀什地区,疏附县,中国,650000,653100,653121
896133,76.95,39.84,0.0,14,新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,阿图什市,中国,650000,653000,653001
896134,76.73,39.86,0.0,14,新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,阿图什市,中国,650000,653000,653001
896136,77.38,37.63,0.0,14,新疆维吾尔自治区,喀什地区,叶城县,中国,650000,653100,653126
896140,76.88,38.19,0.0,14,新疆维吾尔自治区,喀什地区,莎车县,中国,650000,653100,653125
